Invoice Date,Invoice Quantity,Sales Zone,Sales Location
4/5/2024,1,East,PTA
4/5/2024,150,South,HBI
4/5/2024,90,South,KCI
4/5/2024,84,South,KCI
4/6/2024,120,North,JPR
4/6/2024,30,North,JPR
4/6/2024,120,North,JPR
4/6/2024,150,North,JPR
4/6/2024,200,North,DLI
4/6/2024,150,North,JPR
4/7/2024,5,East,PTA
4/7/2024,150,North,JPR
4/7/2024,150,North,JPR
4/7/2024,150,West,BHP
4/7/2024,20,West,PNE
4/7/2024,20,West,PNE
4/7/2024,20,West,PNE
4/7/2024,20,West,PNE
4/7/2024,20,West,PNE
4/7/2024,20,West,PNE
4/7/2024,200,West,BHP
4/7/2024,100,North,JPR
4/7/2024,100,North,JPR
4/7/2024,150,North,DLI
4/8/2024,20,West,PNE
4/8/2024,3,East,PTA
4/8/2024,150,West,BHP
4/8/2024,50,West,BHP
4/8/2024,50,South,KCI
4/8/2024,34,South,KCI
4/8/2024,20,West,PNE
4/8/2024,20,West,PNE
4/8/2024,20,West,PNE
4/8/2024,50,North,JPR
4/8/2024,100,North,JPR
4/8/2024,20,North,JPR
4/8/2024,1,East,PTA
4/8/2024,20,South,MDI
4/8/2024,20,South,MDI
4/8/2024,15,South,MDI
4/8/2024,5,South,MDI
4/8/2024,5,South,MDI
4/8/2024,5,South,MDI
4/8/2024,2,South,MDI
4/8/2024,3,South,MDI
4/8/2024,3,South,MDI
4/8/2024,3,South,MDI
4/8/2024,2,South,MDI
4/8/2024,3,South,MDI
4/8/2024,2,South,MDI
4/8/2024,1,South,MDI
4/8/2024,10,South,MDI
4/8/2024,20,South,MDI
4/8/2024,18,South,MDI
4/8/2024,2,South,MDI
4/9/2024,20,North,JPR
4/9/2024,10,North,JPR
4/9/2024,7,North,JPR
4/9/2024,10,North,JPR
4/9/2024,8,North,JPR
4/10/2024,10,West,PNE
4/10/2024,15,West,PNE
4/10/2024,5,North,JPR
4/10/2024,1,North,JPR
4/10/2024,3,North,JPR
4/10/2024,2,North,JPR
4/10/2024,5,North,JPR
4/10/2024,3,North,JPR
4/10/2024,150,North,JPR
4/10/2024,200,West,BHP
4/10/2024,20,North,JPR
4/10/2024,5,North,JPR
4/10/2024,5,South,MDI
4/10/2024,20,North,JPR
4/10/2024,20,North,JPR
4/10/2024,20,North,JPR
4/10/2024,15,North,JPR
4/10/2024,50,West,BHP
4/10/2024,100,West,BHP
4/10/2024,10,North,JPR
4/10/2024,150,West,BHP
4/10/2024,12,North,JPR
4/10/2024,100,West,BHP
4/10/2024,10,West,PNE
4/10/2024,75,South,MDI
4/10/2024,68,South,MDI
4/10/2024,25,South,MDI
4/11/2024,20,North,GZB
4/11/2024,20,North,GZB
4/11/2024,20,North,GZB
4/11/2024,20,North,GZB
4/11/2024,20,North,GZB
4/11/2024,20,North,GZB
4/11/2024,1,North,JPR
4/11/2024,12,North,JPR
4/11/2024,5,West,PNE
4/11/2024,15,East,DGP
4/11/2024,11,East,DGP
4/11/2024,25,South,MDI
4/11/2024,30,North,JPR
4/11/2024,130,North,JMU
4/11/2024,50,South,HBI
4/12/2024,11,East,DGP
4/12/2024,4,South,MDI
4/12/2024,5,North,JPR
4/12/2024,7,North,GZB
4/12/2024,5,North,LKW
4/12/2024,100,South,MDI
4/12/2024,9,East,DGP
4/12/2024,20,North,LKW
4/12/2024,20,North,LKW
4/12/2024,10,North,LKW
4/12/2024,20,North,JPR
4/12/2024,80,East,PTA
4/12/2024,90,North,GRN
4/12/2024,20,North,GZB
4/12/2024,20,North,GZB
4/12/2024,20,North,GZB
4/12/2024,13,North,GZB
4/12/2024,20,North,LKW
4/12/2024,20,North,LKW
4/12/2024,10,North,LKW
4/13/2024,75,South,KCI
4/13/2024,20,North,JPR
4/13/2024,3,East,DGP
4/13/2024,120,North,GRN
4/13/2024,30,North,GRN
4/13/2024,150,North,GZB
4/13/2024,100,West,BHP
4/13/2024,50,West,BHP
4/13/2024,5,North,JPR
4/13/2024,50,South,KCI
4/13/2024,3,West,PNE
4/13/2024,8,West,PNE
4/13/2024,10,West,PNE
4/13/2024,7,West,PNE
4/14/2024,150,North,GRN
4/14/2024,100,West,PNE
4/14/2024,88,South,MDI
