Invoice Date,Invoice Quantity,Sales Zone,Sales Location
2024-04-05,1,East,PTA
2024-04-05,150,South,HBI
2024-04-05,90,South,KCI
2024-04-05,84,South,KCI
2024-04-06,120,North,JPR
2024-04-06,30,North,JPR
2024-04-06,120,North,JPR
2024-04-06,150,North,JPR
2024-04-06,200,North,DLI
2024-04-06,150,North,JPR
2024-04-07,5,East,PTA
2024-04-07,150,North,JPR
2024-04-07,150,North,JPR
2024-04-07,150,West,BHP
2024-04-07,20,West,PNE
2024-04-07,20,West,PNE
2024-04-07,20,West,PNE
2024-04-07,20,West,PNE
2024-04-07,20,West,PNE
2024-04-07,20,West,PNE
2024-04-07,200,West,BHP
2024-04-07,100,North,JPR
2024-04-07,100,North,JPR
2024-04-07,150,North,DLI
2024-04-08,20,West,PNE
2024-04-08,3,East,PTA
2024-04-08,150,West,BHP
2024-04-08,50,West,BHP
2024-04-08,50,South,KCI
2024-04-08,34,South,KCI
2024-04-08,20,West,PNE
2024-04-08,20,West,PNE
2024-04-08,20,West,PNE
2024-04-08,50,North,JPR
2024-04-08,100,North,JPR
2024-04-08,20,North,JPR
2024-04-08,1,East,PTA
2024-04-08,20,South,MDI
2024-04-08,20,South,MDI
2024-04-08,15,South,MDI
2024-04-08,5,South,MDI
2024-04-08,5,South,MDI
2024-04-08,5,South,MDI
2024-04-08,2,South,MDI
2024-04-08,3,South,MDI
2024-04-08,3,South,MDI
2024-04-08,3,South,MDI
2024-04-08,2,South,MDI
2024-04-08,3,South,MDI
2024-04-08,2,South,MDI
2024-04-08,1,South,MDI
2024-04-08,10,South,MDI
2024-04-08,20,South,MDI
2024-04-08,18,South,MDI
2024-04-08,2,South,MDI
2024-04-09,20,North,JPR
2024-04-09,10,North,JPR
2024-04-09,7,North,JPR
2024-04-09,10,North,JPR
2024-04-09,8,North,JPR
2024-04-10,10,West,PNE
2024-04-10,15,West,PNE
2024-04-10,5,North,JPR
2024-04-10,1,North,JPR
2024-04-10,3,North,JPR
2024-04-10,2,North,JPR
2024-04-10,5,North,JPR
2024-04-10,3,North,JPR
2024-04-10,150,North,JPR
2024-04-10,200,West,BHP
2024-04-10,20,North,JPR
2024-04-10,5,North,JPR
2024-04-10,5,South,MDI
2024-04-10,20,North,JPR
2024-04-10,20,North,JPR
2024-04-10,20,North,JPR
2024-04-10,15,North,JPR
2024-04-10,50,West,BHP
2024-04-10,100,West,BHP
