"Invoice Date","Capacity Rating","Energy Rating","Invoice Quantity","Sales Zone","Sales Location","Sales Channel","Sales Margin"
"4/5/2024","1.5","3","1","East","PTA","General Trade","15%"
"4/5/2024","1.5","3","150","South","HBI","General Trade","15%"
"4/5/2024","1.5","3","90","South","KCI","General Trade","15%"
"4/5/2024","1.5","3","84","South","KCI","General Trade","15%"
"4/6/2024","1.5","3","120","North","JPR","General Trade","15%"
"4/6/2024","1.5","3","30","North","JPR","General Trade","15%"
"4/6/2024","1.5","3","120","North","JPR","General Trade","15%"
"4/6/2024","1.5","3","150","North","JPR","General Trade","15%"
"4/6/2024","1.5","3","200","North","DLI","General Trade","15%"
"4/6/2024","1.5","3","150","North","JPR","General Trade","15%"
"4/7/2024","1.5","3","5","East","PTA","General Trade","15%"
"4/7/2024","1.5","3","150","North","JPR","General Trade","15%"
"4/7/2024","1.5","3","150","North","JPR","General Trade","15%"
"4/7/2024","1.5","3","150","West","BHP","General Trade","15%"
"4/7/2024","1.5","3","20","West","PNE","General Trade","15%"
"4/7/2024","1.5","3","20","West","PNE","General Trade","15%"
"4/7/2024","1.5","3","20","West","PNE","General Trade","15%"
"4/7/2024","1.5","3","20","West","PNE","General Trade","15%"
"4/7/2024","1.5","3","20","West","PNE","General Trade","15%"
"4/7/2024","1.5","3","20","West","PNE","General Trade","15%"
"4/7/2024","1.5","3","200","West","BHP","General Trade","15%"
"4/7/2024","1.5","3","100","North","JPR","General Trade","15%"
"4/7/2024","1.5","3","100","North","JPR","General Trade","15%"
"4/7/2024","1.5","3","150","North","DLI","General Trade","15%"
"4/8/2024","1.5","3","20","West","PNE","General Trade","15%"
"4/8/2024","1.5","3","3","East","PTA","General Trade","15%"
"4/8/2024","1.5","3","150","West","BHP","General Trade","15%"
"4/8/2024","1.5","3","50","West","BHP","General Trade","15%"
"4/8/2024","1.5","3","50","South","KCI","General Trade","15%"
"4/8/2024","1.5","3","34","South","KCI","General Trade","15%"
"4/8/2024","1.5","3","20","West","PNE","General Trade","15%"
"4/8/2024","1.5","3","20","West","PNE","General Trade","15%"
"4/8/2024","1.5","3","20","West","PNE","General Trade","15%"
"4/8/2024","1.5","3","50","North","JPR","General Trade","15%"
"4/8/2024","1.5","3","100","North","JPR","General Trade","15%"
"4/8/2024","1.5","3","20","North","JPR","General Trade","15%"
"4/8/2024","1.5","3","1","East","PTA","General Trade","15%"
"4/8/2024","1.5","3","20","South","MDI","General Trade","15%"
